order_id,customer_id,product_id,order_date,order_status,quantity,total_price
1,102,206,2025-07-02,DELIVERED,1,2999.0
2,103,206,2025-07-19,DELIVERED,1,2999.0
3,107,207,2025-06-16,DELIVERED,1,1500.0
4,104,201,2025-06-16,CLOSED,5,350000.0
5,109,207,2025-06-29,CLOSED,4,6000.0
6,105,206,2025-06-25,PENDING,1,2999.0
7,106,205,2025-06-24,DELIVERED,3,75000.0
8,106,206,2025-06-20,DELIVERED,1,2999.0
9,106,205,2025-07-01,CANCELLED,3,75000.0
10,108,202,2025-06-22,RETURNED,5,10000.0
11,107,207,2025-07-20,DELIVERED,1,1500.0
12,110,201,2025-06-27,PENDING,3,210000.0
13,101,202,2025-07-03,RETURNED,2,4000.0
14,104,201,2025-07-09,DELIVERED,1,70000.0
15,106,202,2025-07-08,DELIVERED,2,4000.0
16,105,207,2025-06-25,CLOSED,1,1500.0
17,104,202,2025-07-14,DELIVERED,2,4000.0
18,109,207,2025-07-05,CANCELLED,2,3000.0
19,101,204,2025-06-17,CANCELLED,2,7000.0
20,107,204,2025-06-19,DELIVERED,3,10500.0
